,date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
0,2021-04-01,Sikkim,2-Wheelers,0,398
1,2021-04-01,Sikkim,4-Wheelers,0,361
2,2021-05-01,Sikkim,2-Wheelers,0,113
3,2021-05-01,Sikkim,4-Wheelers,0,98
4,2021-06-01,Sikkim,2-Wheelers,0,229
5,2021-06-01,Sikkim,4-Wheelers,0,244
6,2021-07-01,Sikkim,2-Wheelers,0,458
7,2021-07-01,Sikkim,4-Wheelers,0,452
8,2021-08-01,Sikkim,2-Wheelers,0,489
9,2021-08-01,Sikkim,4-Wheelers,0,408
10,2021-09-01,Sikkim,2-Wheelers,0,540
11,2021-09-01,Sikkim,4-Wheelers,0,355
12,2021-10-01,Sikkim,2-Wheelers,0,455
13,2021-10-01,Sikkim,4-Wheelers,0,345
14,2021-11-01,Sikkim,2-Wheelers,0,478
15,2021-11-01,Sikkim,4-Wheelers,0,351
16,2021-12-01,Sikkim,2-Wheelers,0,454
17,2021-12-01,Sikkim,4-Wheelers,0,394
18,2022-01-01,Sikkim,2-Wheelers,0,400
19,2022-01-01,Sikkim,4-Wheelers,0,270
20,2022-02-01,Sikkim,2-Wheelers,0,384
21,2022-02-01,Sikkim,4-Wheelers,0,371
22,2022-03-01,Sikkim,2-Wheelers,0,460
23,2022-03-01,Sikkim,4-Wheelers,0,390
24,2022-04-01,Sikkim,2-Wheelers,0,455
25,2022-04-01,Sikkim,4-Wheelers,0,380
26,2022-05-01,Sikkim,2-Wheelers,0,461
27,2022-05-01,Sikkim,4-Wheelers,0,421
28,2022-06-01,Sikkim,2-Wheelers,0,429
29,2022-06-01,Sikkim,4-Wheelers,0,446
30,2022-07-01,Sikkim,2-Wheelers,0,409
31,2022-07-01,Sikkim,4-Wheelers,0,439
32,2022-08-01,Sikkim,2-Wheelers,0,394
33,2022-08-01,Sikkim,4-Wheelers,0,421
34,2022-09-01,Sikkim,2-Wheelers,0,443
35,2022-09-01,Sikkim,4-Wheelers,0,581
36,2022-10-01,Sikkim,2-Wheelers,0,371
37,2022-10-01,Sikkim,4-Wheelers,0,340
38,2022-11-01,Sikkim,2-Wheelers,0,431
39,2022-11-01,Sikkim,4-Wheelers,0,411
40,2022-12-01,Sikkim,2-Wheelers,0,274
41,2022-12-01,Sikkim,4-Wheelers,0,288
42,2023-01-01,Sikkim,2-Wheelers,0,470
43,2023-01-01,Sikkim,4-Wheelers,0,420
44,2023-02-01,Sikkim,2-Wheelers,0,324
45,2023-02-01,Sikkim,4-Wheelers,0,364
46,2023-03-01,Sikkim,2-Wheelers,0,454
47,2023-03-01,Sikkim,4-Wheelers,0,505
48,2023-04-01,Sikkim,2-Wheelers,0,465
49,2023-04-01,Sikkim,4-Wheelers,0,439
50,2023-05-01,Sikkim,2-Wheelers,0,507
51,2023-05-01,Sikkim,4-Wheelers,0,448
52,2023-06-01,Sikkim,2-Wheelers,0,517
53,2023-06-01,Sikkim,4-Wheelers,0,457
54,2023-07-01,Sikkim,2-Wheelers,0,423
55,2023-07-01,Sikkim,4-Wheelers,0,371
56,2023-08-01,Sikkim,2-Wheelers,0,465
57,2023-08-01,Sikkim,4-Wheelers,0,460
58,2023-09-01,Sikkim,2-Wheelers,0,546
59,2023-09-01,Sikkim,4-Wheelers,0,509
60,2023-10-01,Sikkim,2-Wheelers,0,398
61,2023-10-01,Sikkim,4-Wheelers,0,389
62,2023-11-01,Sikkim,2-Wheelers,0,470
63,2023-11-01,Sikkim,4-Wheelers,0,403
64,2023-12-01,Sikkim,2-Wheelers,0,365
65,2023-12-01,Sikkim,4-Wheelers,0,318
66,2024-01-01,Sikkim,2-Wheelers,0,509
67,2024-01-01,Sikkim,4-Wheelers,0,422
68,2024-02-01,Sikkim,2-Wheelers,0,408
69,2024-02-01,Sikkim,4-Wheelers,0,375
70,2024-03-01,Sikkim,2-Wheelers,0,399
71,2024-03-01,Sikkim,4-Wheelers,0,455
72,2021-04-01,Andaman & Nicobar Island,2-Wheelers,0,515
73,2021-04-01,Arunachal Pradesh,2-Wheelers,0,1256
74,2021-04-01,Arunachal Pradesh,4-Wheelers,0,724
75,2021-04-01,Assam,4-Wheelers,0,6576
76,2021-04-01,Chhattisgarh,4-Wheelers,0,1563
77,2021-04-01,DNH and DD,4-Wheelers,0,278
78,2021-04-01,Jammu and Kashmir,4-Wheelers,0,5107
79,2021-04-01,Ladakh,2-Wheelers,0,2
80,2021-04-01,Ladakh,4-Wheelers,0,20
81,2021-04-01,Manipur,4-Wheelers,0,808
82,2021-04-01,Meghalaya,2-Wheelers,0,1189
83,2021-04-01,Mizoram,2-Wheelers,0,1507
84,2021-04-01,Mizoram,4-Wheelers,0,281
85,2021-04-01,Nagaland,2-Wheelers,0,561
86,2021-04-01,Nagaland,4-Wheelers,0,747
87,2021-04-01,Puducherry,4-Wheelers,0,655
88,2021-04-01,Tripura,2-Wheelers,0,2906
89,2021-04-01,Tripura,4-Wheelers,0,289
90,2021-05-01,Andaman & Nicobar Island,2-Wheelers,0,4
91,2021-05-01,Andaman & Nicobar Island,4-Wheelers,0,1
92,2021-05-01,Arunachal Pradesh,2-Wheelers,0,552
93,2021-05-01,Arunachal Pradesh,4-Wheelers,0,302
94,2021-05-01,Assam,2-Wheelers,0,14723
95,2021-05-01,Assam,4-Wheelers,0,3295
96,2021-05-01,Bihar,4-Wheelers,0,2249
97,2021-05-01,Chandigarh,2-Wheelers,0,411
98,2021-05-01,Chhattisgarh,4-Wheelers,0,1387
99,2021-05-01,DNH and DD,2-Wheelers,0,452
100,2021-05-01,DNH and DD,4-Wheelers,0,202
101,2021-05-01,Delhi,2-Wheelers,0,22
102,2021-05-01,Delhi,4-Wheelers,0,21
103,2021-05-01,Jammu and Kashmir,4-Wheelers,0,2372
104,2021-05-01,Ladakh,2-Wheelers,0,11
105,2021-05-01,Ladakh,4-Wheelers,0,70
106,2021-05-01,Madhya Pradesh,4-Wheelers,0,195
107,2021-05-01,Manipur,2-Wheelers,0,288
108,2021-05-01,Manipur,4-Wheelers,0,9
109,2021-05-01,Meghalaya,2-Wheelers,0,332
110,2021-05-01,Mizoram,2-Wheelers,0,15
111,2021-05-01,Mizoram,4-Wheelers,0,4
112,2021-05-01,Nagaland,2-Wheelers,0,125
113,2021-05-01,Nagaland,4-Wheelers,0,126
114,2021-05-01,Odisha,4-Wheelers,0,722
115,2021-05-01,Punjab,4-Wheelers,0,5202
116,2021-05-01,Tripura,2-Wheelers,0,2063
117,2021-05-01,Tripura,4-Wheelers,0,192
118,2021-05-01,Uttarakhand,4-Wheelers,0,1145
119,2021-06-01,Andaman & Nicobar Island,2-Wheelers,0,2
120,2021-06-01,Arunachal Pradesh,2-Wheelers,0,727
121,2021-06-01,Arunachal Pradesh,4-Wheelers,0,565
122,2021-06-01,Ladakh,2-Wheelers,0,3
123,2021-06-01,Ladakh,4-Wheelers,0,112
124,2021-06-01,Manipur,2-Wheelers,0,89
125,2021-06-01,Manipur,4-Wheelers,0,18
126,2021-06-01,Meghalaya,2-Wheelers,0,354
127,2021-06-01,Meghalaya,4-Wheelers,0,246
128,2021-06-01,Mizoram,2-Wheelers,0,648
129,2021-06-01,Mizoram,4-Wheelers,0,298
130,2021-06-01,Nagaland,2-Wheelers,0,42
131,2021-06-01,Nagaland,4-Wheelers,0,54
132,2021-06-01,Puducherry,4-Wheelers,0,445
133,2021-06-01,Tripura,4-Wheelers,0,185
134,2021-07-01,Andaman & Nicobar Island,2-Wheelers,0,467
135,2021-07-01,Arunachal Pradesh,2-Wheelers,0,994
136,2021-07-01,Arunachal Pradesh,4-Wheelers,0,661
137,2021-07-01,Assam,4-Wheelers,0,4988
138,2021-07-01,DNH and DD,4-Wheelers,0,276
139,2021-07-01,Ladakh,2-Wheelers,0,51
140,2021-07-01,Ladakh,4-Wheelers,0,552
141,2021-07-01,Manipur,2-Wheelers,0,474
142,2021-07-01,Manipur,4-Wheelers,0,68
143,2021-07-01,Meghalaya,2-Wheelers,0,726
144,2021-07-01,Mizoram,2-Wheelers,0,1096
145,2021-07-01,Mizoram,4-Wheelers,0,219
146,2021-07-01,Nagaland,2-Wheelers,0,583
147,2021-07-01,Nagaland,4-Wheelers,0,1039
148,2021-07-01,Puducherry,4-Wheelers,0,866
149,2021-07-01,Tripura,2-Wheelers,0,2211
150,2021-07-01,Tripura,4-Wheelers,0,352
151,2021-08-01,Andaman & Nicobar Island,2-Wheelers,0,406
152,2021-08-01,Arunachal Pradesh,2-Wheelers,0,1126
153,2021-08-01,Arunachal Pradesh,4-Wheelers,0,758
154,2021-08-01,DNH and DD,4-Wheelers,0,321
155,2021-08-01,Himachal Pradesh,4-Wheelers,0,3641
156,2021-08-01,Jammu and Kashmir,4-Wheelers,0,5430
157,2021-08-01,Ladakh,2-Wheelers,0,30
158,2021-08-01,Ladakh,4-Wheelers,0,459
159,2021-08-01,Manipur,2-Wheelers,0,1016
160,2021-08-01,Manipur,4-Wheelers,0,561
161,2021-08-01,Meghalaya,2-Wheelers,0,1041
162,2021-08-01,Meghalaya,4-Wheelers,0,826
163,2021-08-01,Mizoram,2-Wheelers,0,1057
164,2021-08-01,Mizoram,4-Wheelers,0,240
165,2021-08-01,Nagaland,2-Wheelers,0,577
166,2021-08-01,Nagaland,4-Wheelers,0,763
167,2021-08-01,Tripura,2-Wheelers,0,2462
168,2021-08-01,Tripura,4-Wheelers,0,462
169,2021-09-01,Andaman & Nicobar Island,2-Wheelers,0,329
170,2021-09-01,Andaman & Nicobar Island,4-Wheelers,0,87
171,2021-09-01,Arunachal Pradesh,2-Wheelers,0,1260
172,2021-09-01,Arunachal Pradesh,4-Wheelers,0,637
173,2021-09-01,Assam,4-Wheelers,0,6036
174,2021-09-01,DNH and DD,4-Wheelers,0,348
175,2021-09-01,Ladakh,2-Wheelers,0,26
176,2021-09-01,Ladakh,4-Wheelers,0,444
177,2021-09-01,Manipur,2-Wheelers,0,3492
178,2021-09-01,Manipur,4-Wheelers,0,1202
179,2021-09-01,Meghalaya,2-Wheelers,0,1396
180,2021-09-01,Meghalaya,4-Wheelers,0,905
181,2021-09-01,Mizoram,2-Wheelers,0,1465
182,2021-09-01,Mizoram,4-Wheelers,0,264
183,2021-09-01,Nagaland,4-Wheelers,0,681
184,2021-09-01,Tripura,2-Wheelers,0,2736
185,2021-09-01,Tripura,4-Wheelers,0,403
186,2021-10-01,Andaman & Nicobar Island,2-Wheelers,0,360
187,2021-10-01,Arunachal Pradesh,2-Wheelers,0,1109
188,2021-10-01,Arunachal Pradesh,4-Wheelers,0,570
189,2021-10-01,Assam,4-Wheelers,0,5877
190,2021-10-01,Ladakh,4-Wheelers,0,289
191,2021-10-01,Manipur,4-Wheelers,0,916
192,2021-10-01,Meghalaya,2-Wheelers,0,1414
193,2021-10-01,Meghalaya,4-Wheelers,0,722
194,2021-10-01,Mizoram,2-Wheelers,0,1886
195,2021-10-01,Mizoram,4-Wheelers,0,283
196,2021-10-01,Nagaland,2-Wheelers,0,650
