,date,vehicle_category,maker,electric_vehicles_sold,fiscal_year,quarter
1,2021-04-01,4-Wheelers,BYD India,0,2022,Q1
2,2021-04-01,4-Wheelers,PCA Automobiles,0,2022,Q1
3,2021-04-01,4-Wheelers,BMW India,0,2022,Q1
4,2021-04-01,4-Wheelers,Volvo Auto India,0,2022,Q1
5,2021-04-01,4-Wheelers,KIA Motors,0,2022,Q1
6,2021-04-01,4-Wheelers,Tata Motors,322,2022,Q1
7,2021-04-01,4-Wheelers,MG Motor,118,2022,Q1
8,2021-04-01,4-Wheelers,Mahindra & Mahindra,171,2022,Q1
9,2021-04-01,4-Wheelers,Hyundai Motor,12,2022,Q1
10,2021-04-01,4-Wheelers,Mercedes -Benz AG,3,2022,Q1
23,2022-04-01,4-Wheelers,PCA Automobiles,0,2023,Q1
24,2022-04-01,4-Wheelers,Volvo Auto India,0,2023,Q1
25,2022-04-01,4-Wheelers,KIA Motors,0,2023,Q1
26,2022-04-01,4-Wheelers,Tata Motors,1409,2023,Q1
27,2022-04-01,4-Wheelers,MG Motor,177,2023,Q1
28,2022-04-01,4-Wheelers,Mahindra & Mahindra,611,2023,Q1
29,2022-04-01,4-Wheelers,BYD India,15,2023,Q1
30,2022-04-01,4-Wheelers,Hyundai Motor,17,2023,Q1
31,2022-04-01,4-Wheelers,BMW India,12,2023,Q1
32,2022-04-01,4-Wheelers,Mercedes -Benz AG,8,2023,Q1
46,2021-05-01,4-Wheelers,BYD India,0,2022,Q1
47,2021-05-01,4-Wheelers,PCA Automobiles,0,2022,Q1
48,2021-05-01,4-Wheelers,BMW India,0,2022,Q1
49,2021-05-01,4-Wheelers,Mercedes -Benz AG,0,2022,Q1
50,2021-05-01,4-Wheelers,Volvo Auto India,0,2022,Q1
51,2021-05-01,4-Wheelers,KIA Motors,0,2022,Q1
52,2021-05-01,4-Wheelers,Tata Motors,137,2022,Q1
53,2021-05-01,4-Wheelers,MG Motor,39,2022,Q1
54,2021-05-01,4-Wheelers,Mahindra & Mahindra,78,2022,Q1
55,2021-05-01,4-Wheelers,Hyundai Motor,3,2022,Q1
68,2021-06-01,4-Wheelers,BYD India,0,2022,Q1
69,2021-06-01,4-Wheelers,PCA Automobiles,0,2022,Q1
70,2021-06-01,4-Wheelers,BMW India,0,2022,Q1
71,2021-06-01,4-Wheelers,Volvo Auto India,0,2022,Q1
72,2021-06-01,4-Wheelers,KIA Motors,0,2022,Q1
73,2021-06-01,4-Wheelers,Tata Motors,572,2022,Q1
74,2021-06-01,4-Wheelers,MG Motor,128,2022,Q1
75,2021-06-01,4-Wheelers,Mahindra & Mahindra,106,2022,Q1
76,2021-06-01,4-Wheelers,Hyundai Motor,10,2022,Q1
77,2021-06-01,4-Wheelers,Mercedes -Benz AG,2,2022,Q1
90,2021-07-01,4-Wheelers,BYD India,0,2022,Q2
91,2021-07-01,4-Wheelers,PCA Automobiles,0,2022,Q2
92,2021-07-01,4-Wheelers,BMW India,0,2022,Q2
93,2021-07-01,4-Wheelers,Volvo Auto India,0,2022,Q2
94,2021-07-01,4-Wheelers,KIA Motors,0,2022,Q2
95,2021-07-01,4-Wheelers,Tata Motors,696,2022,Q2
96,2021-07-01,4-Wheelers,MG Motor,232,2022,Q2
97,2021-07-01,4-Wheelers,Mahindra & Mahindra,171,2022,Q2
98,2021-07-01,4-Wheelers,Hyundai Motor,18,2022,Q2
99,2021-07-01,4-Wheelers,Mercedes -Benz AG,1,2022,Q2
112,2021-08-01,4-Wheelers,BYD India,0,2022,Q2
113,2021-08-01,4-Wheelers,PCA Automobiles,0,2022,Q2
114,2021-08-01,4-Wheelers,BMW India,0,2022,Q2
115,2021-08-01,4-Wheelers,Volvo Auto India,0,2022,Q2
116,2021-08-01,4-Wheelers,KIA Motors,0,2022,Q2
117,2021-08-01,4-Wheelers,Tata Motors,584,2022,Q2
118,2021-08-01,4-Wheelers,MG Motor,303,2022,Q2
119,2021-08-01,4-Wheelers,Mahindra & Mahindra,204,2022,Q2
120,2021-08-01,4-Wheelers,Hyundai Motor,10,2022,Q2
121,2021-08-01,4-Wheelers,Mercedes -Benz AG,2,2022,Q2
134,2021-09-01,4-Wheelers,BYD India,0,2022,Q2
135,2021-09-01,4-Wheelers,PCA Automobiles,0,2022,Q2
136,2021-09-01,4-Wheelers,BMW India,0,2022,Q2
137,2021-09-01,4-Wheelers,Volvo Auto India,0,2022,Q2
138,2021-09-01,4-Wheelers,KIA Motors,0,2022,Q2
139,2021-09-01,4-Wheelers,Tata Motors,772,2022,Q2
140,2021-09-01,4-Wheelers,MG Motor,263,2022,Q2
141,2021-09-01,4-Wheelers,Mahindra & Mahindra,276,2022,Q2
142,2021-09-01,4-Wheelers,Hyundai Motor,6,2022,Q2
143,2021-09-01,4-Wheelers,Mercedes -Benz AG,2,2022,Q2
156,2021-10-01,4-Wheelers,BYD India,0,2022,Q3
157,2021-10-01,4-Wheelers,PCA Automobiles,0,2022,Q3
158,2021-10-01,4-Wheelers,BMW India,0,2022,Q3
159,2021-10-01,4-Wheelers,Volvo Auto India,0,2022,Q3
160,2021-10-01,4-Wheelers,KIA Motors,0,2022,Q3
161,2021-10-01,4-Wheelers,Tata Motors,803,2022,Q3
162,2021-10-01,4-Wheelers,MG Motor,194,2022,Q3
163,2021-10-01,4-Wheelers,Mahindra & Mahindra,369,2022,Q3
164,2021-10-01,4-Wheelers,Hyundai Motor,8,2022,Q3
165,2021-10-01,4-Wheelers,Mercedes -Benz AG,3,2022,Q3
178,2021-11-01,4-Wheelers,BYD India,0,2022,Q3
179,2021-11-01,4-Wheelers,PCA Automobiles,0,2022,Q3
180,2021-11-01,4-Wheelers,BMW India,0,2022,Q3
181,2021-11-01,4-Wheelers,Volvo Auto India,0,2022,Q3
182,2021-11-01,4-Wheelers,KIA Motors,0,2022,Q3
183,2021-11-01,4-Wheelers,Tata Motors,1036,2022,Q3
184,2021-11-01,4-Wheelers,MG Motor,118,2022,Q3
185,2021-11-01,4-Wheelers,Mahindra & Mahindra,462,2022,Q3
186,2021-11-01,4-Wheelers,Hyundai Motor,7,2022,Q3
187,2021-11-01,4-Wheelers,Mercedes -Benz AG,2,2022,Q3
