,EV Sales,EV Penetration,Ease of Doing Business,Combined Score
Karnataka,312995.0,7.835984466978058,88.0,52.0
Maharashtra,396045.0,6.491020382274382,85.0,48.5
Gujarat,181389.0,4.396721795464412,90.0,45.0
Delhi,107312.0,6.755827745027183,80.0,40.0
Tamil Nadu,200062.0,4.300223348865942,82.0,39.5
Rajasthan,150366.0,4.546088074371952,75.0,36.0
Madhya Pradesh,78979.0,2.2573826034713482,79.0,25.0
Uttar Pradesh,95203.0,1.1714287683011522,83.0,25.0
Andaman & Nicobar,,0.30303030303030304,,
Andaman & Nicobar Island,,0.4279835390946502,,
Andhra Pradesh,,3.389946279803019,,
Arunachal Pradesh,,0.0461235271919158,,
Assam,,0.457359982498035,,
Bihar,,1.0175592028928218,,
Chandigarh,,4.041246899592736,,
Chhattisgarh,,4.030295380711002,,
DNH and DD,,0.8180288960066364,,
Goa,,9.843476521478221,,
Haryana,,1.6185367843058112,82.0,
Himachal Pradesh,,0.7975633594167799,,
Jammu and Kashmir,,1.4403465901826789,,
Jharkhand,,1.3525671741083138,,
Kerala,137060.0,6.638326479153882,,
Ladakh,,0.6478658536585366,,
Manipur,,0.2860888119181346,,
Meghalaya,,0.1962675892352217,,
Mizoram,,0.47681153322955666,,
Nagaland,,0.029483806586228796,,
Odisha,78267.0,4.634490648356164,,
Puducherry,,3.6711362219658086,,
Punjab,,1.543626073698705,,
Sikkim,,0.0,,
Telangana,,,85.0,
Tripura,,0.4488244313825709,,
Uttarakhand,,2.429232367710657,,
West Bengal,,1.1168872177813123,,
