state,2-Wheelers,4-Wheelers,Total_EV,2W_to_4W_ratio
Maharashtra,363765,32280,396045,11.269052044609666
Karnataka,292329,20666,312995,14.1454079163844
Tamil Nadu,188855,11207,200062,16.851521370571962
Gujarat,169557,11832,181389,14.330375253549695
Rajasthan,142425,7941,150366,17.93539856441254
Kerala,120593,16467,137060,7.323313293253173
Delhi,89178,18134,107312,4.917723613102459
Uttar Pradesh,89165,6038,95203,14.76730705531633
Madhya Pradesh,76362,2617,78979,29.179212839128773
Odisha,76083,2184,78267,34.83653846153846
